sample_id,patches_path,expr_path
INT24,CCRCC/patches/INT24.h5,CCRCC/adata/INT24.h5ad
INT15,CCRCC/patches/INT15.h5,CCRCC/adata/INT15.h5ad
INT14,CCRCC/patches/INT14.h5,CCRCC/adata/INT14.h5ad
INT13,CCRCC/patches/INT13.h5,CCRCC/adata/INT13.h5ad
INT12,CCRCC/patches/INT12.h5,CCRCC/adata/INT12.h5ad
INT11,CCRCC/patches/INT11.h5,CCRCC/adata/INT11.h5ad
INT10,CCRCC/patches/INT10.h5,CCRCC/adata/INT10.h5ad
INT9,CCRCC/patches/INT9.h5,CCRCC/adata/INT9.h5ad
INT8,CCRCC/patches/INT8.h5,CCRCC/adata/INT8.h5ad
INT7,CCRCC/patches/INT7.h5,CCRCC/adata/INT7.h5ad
INT6,CCRCC/patches/INT6.h5,CCRCC/adata/INT6.h5ad
INT23,CCRCC/patches/INT23.h5,CCRCC/adata/INT23.h5ad
INT5,CCRCC/patches/INT5.h5,CCRCC/adata/INT5.h5ad
INT4,CCRCC/patches/INT4.h5,CCRCC/adata/INT4.h5ad
INT3,CCRCC/patches/INT3.h5,CCRCC/adata/INT3.h5ad
INT2,CCRCC/patches/INT2.h5,CCRCC/adata/INT2.h5ad
INT1,CCRCC/patches/INT1.h5,CCRCC/adata/INT1.h5ad
INT22,CCRCC/patches/INT22.h5,CCRCC/adata/INT22.h5ad
INT21,CCRCC/patches/INT21.h5,CCRCC/adata/INT21.h5ad
INT20,CCRCC/patches/INT20.h5,CCRCC/adata/INT20.h5ad
INT19,CCRCC/patches/INT19.h5,CCRCC/adata/INT19.h5ad
INT18,CCRCC/patches/INT18.h5,CCRCC/adata/INT18.h5ad
INT17,CCRCC/patches/INT17.h5,CCRCC/adata/INT17.h5ad
INT16,CCRCC/patches/INT16.h5,CCRCC/adata/INT16.h5ad
TENX99,IDC/patches/TENX99.h5,IDC/adata/TENX99.h5ad
TENX95,IDC/patches/TENX95.h5,IDC/adata/TENX95.h5ad
NCBI785,IDC/patches/NCBI785.h5,IDC/adata/NCBI785.h5ad
NCBI783,IDC/patches/NCBI783.h5,IDC/adata/NCBI783.h5ad
TENX141,LUNG/patches/TENX141.h5,LUNG/adata/TENX141.h5ad
TENX118,LUNG/patches/TENX118.h5,LUNG/adata/TENX118.h5ad
TENX117,SKCM/patches/TENX117.h5,SKCM/adata/TENX117.h5ad
TENX115,SKCM/patches/TENX115.h5,SKCM/adata/TENX115.h5ad
