sample_id,patches_path,expr_path
INT24,CCRCC/patches/INT24.h5,CCRCC/adata/INT24.h5ad
INT14,CCRCC/patches/INT14.h5,CCRCC/adata/INT14.h5ad
INT13,CCRCC/patches/INT13.h5,CCRCC/adata/INT13.h5ad
INT12,CCRCC/patches/INT12.h5,CCRCC/adata/INT12.h5ad
INT11,CCRCC/patches/INT11.h5,CCRCC/adata/INT11.h5ad
INT10,CCRCC/patches/INT10.h5,CCRCC/adata/INT10.h5ad
INT9,CCRCC/patches/INT9.h5,CCRCC/adata/INT9.h5ad
INT8,CCRCC/patches/INT8.h5,CCRCC/adata/INT8.h5ad
INT7,CCRCC/patches/INT7.h5,CCRCC/adata/INT7.h5ad
INT6,CCRCC/patches/INT6.h5,CCRCC/adata/INT6.h5ad
INT5,CCRCC/patches/INT5.h5,CCRCC/adata/INT5.h5ad
INT4,CCRCC/patches/INT4.h5,CCRCC/adata/INT4.h5ad
INT3,CCRCC/patches/INT3.h5,CCRCC/adata/INT3.h5ad
INT2,CCRCC/patches/INT2.h5,CCRCC/adata/INT2.h5ad
INT22,CCRCC/patches/INT22.h5,CCRCC/adata/INT22.h5ad
INT21,CCRCC/patches/INT21.h5,CCRCC/adata/INT21.h5ad
INT20,CCRCC/patches/INT20.h5,CCRCC/adata/INT20.h5ad
INT18,CCRCC/patches/INT18.h5,CCRCC/adata/INT18.h5ad
INT17,CCRCC/patches/INT17.h5,CCRCC/adata/INT17.h5ad
NCBI643,HCC/patches/NCBI643.h5,HCC/adata/NCBI643.h5ad
NCBI642,HCC/patches/NCBI642.h5,HCC/adata/NCBI642.h5ad
TENX141,LUNG/patches/TENX141.h5,LUNG/adata/TENX141.h5ad
TENX118,LUNG/patches/TENX118.h5,LUNG/adata/TENX118.h5ad
TENX140,PAAD/patches/TENX140.h5,PAAD/adata/TENX140.h5ad
TENX126,PAAD/patches/TENX126.h5,PAAD/adata/TENX126.h5ad
MEND161,PRAD/patches/MEND161.h5,PRAD/adata/MEND161.h5ad
MEND160,PRAD/patches/MEND160.h5,PRAD/adata/MEND160.h5ad
MEND159,PRAD/patches/MEND159.h5,PRAD/adata/MEND159.h5ad
MEND158,PRAD/patches/MEND158.h5,PRAD/adata/MEND158.h5ad
MEND157,PRAD/patches/MEND157.h5,PRAD/adata/MEND157.h5ad
MEND156,PRAD/patches/MEND156.h5,PRAD/adata/MEND156.h5ad
MEND153,PRAD/patches/MEND153.h5,PRAD/adata/MEND153.h5ad
MEND152,PRAD/patches/MEND152.h5,PRAD/adata/MEND152.h5ad
MEND150,PRAD/patches/MEND150.h5,PRAD/adata/MEND150.h5ad
MEND149,PRAD/patches/MEND149.h5,PRAD/adata/MEND149.h5ad
MEND148,PRAD/patches/MEND148.h5,PRAD/adata/MEND148.h5ad
MEND146,PRAD/patches/MEND146.h5,PRAD/adata/MEND146.h5ad
MEND145,PRAD/patches/MEND145.h5,PRAD/adata/MEND145.h5ad
MEND144,PRAD/patches/MEND144.h5,PRAD/adata/MEND144.h5ad
MEND143,PRAD/patches/MEND143.h5,PRAD/adata/MEND143.h5ad
MEND142,PRAD/patches/MEND142.h5,PRAD/adata/MEND142.h5ad
MEND140,PRAD/patches/MEND140.h5,PRAD/adata/MEND140.h5ad
MEND139,PRAD/patches/MEND139.h5,PRAD/adata/MEND139.h5ad
TENX117,SKCM/patches/TENX117.h5,SKCM/adata/TENX117.h5ad
TENX115,SKCM/patches/TENX115.h5,SKCM/adata/TENX115.h5ad
