sample_id,patches_path,expr_path
INT24,CCRCC/patches/INT24.h5,CCRCC/adata/INT24.h5ad
INT13,CCRCC/patches/INT13.h5,CCRCC/adata/INT13.h5ad
INT11,CCRCC/patches/INT11.h5,CCRCC/adata/INT11.h5ad
INT10,CCRCC/patches/INT10.h5,CCRCC/adata/INT10.h5ad
INT9,CCRCC/patches/INT9.h5,CCRCC/adata/INT9.h5ad
INT8,CCRCC/patches/INT8.h5,CCRCC/adata/INT8.h5ad
INT7,CCRCC/patches/INT7.h5,CCRCC/adata/INT7.h5ad
INT6,CCRCC/patches/INT6.h5,CCRCC/adata/INT6.h5ad
INT5,CCRCC/patches/INT5.h5,CCRCC/adata/INT5.h5ad
INT4,CCRCC/patches/INT4.h5,CCRCC/adata/INT4.h5ad
INT3,CCRCC/patches/INT3.h5,CCRCC/adata/INT3.h5ad
INT2,CCRCC/patches/INT2.h5,CCRCC/adata/INT2.h5ad
INT1,CCRCC/patches/INT1.h5,CCRCC/adata/INT1.h5ad
INT21,CCRCC/patches/INT21.h5,CCRCC/adata/INT21.h5ad
INT20,CCRCC/patches/INT20.h5,CCRCC/adata/INT20.h5ad
INT19,CCRCC/patches/INT19.h5,CCRCC/adata/INT19.h5ad
INT18,CCRCC/patches/INT18.h5,CCRCC/adata/INT18.h5ad
INT17,CCRCC/patches/INT17.h5,CCRCC/adata/INT17.h5ad
INT16,CCRCC/patches/INT16.h5,CCRCC/adata/INT16.h5ad
TENX149,COAD/patches/TENX149.h5,COAD/adata/TENX149.h5ad
TENX148,COAD/patches/TENX148.h5,COAD/adata/TENX148.h5ad
TENX111,COAD/patches/TENX111.h5,COAD/adata/TENX111.h5ad
NCBI643,HCC/patches/NCBI643.h5,HCC/adata/NCBI643.h5ad
TENX99,IDC/patches/TENX99.h5,IDC/adata/TENX99.h5ad
NCBI783,IDC/patches/NCBI783.h5,IDC/adata/NCBI783.h5ad
TENX141,LUNG/patches/TENX141.h5,LUNG/adata/TENX141.h5ad
NCBI684,LYMPH_IDC/patches/NCBI684.h5,LYMPH_IDC/adata/NCBI684.h5ad
NCBI683,LYMPH_IDC/patches/NCBI683.h5,LYMPH_IDC/adata/NCBI683.h5ad
NCBI682,LYMPH_IDC/patches/NCBI682.h5,LYMPH_IDC/adata/NCBI682.h5ad
NCBI681,LYMPH_IDC/patches/NCBI681.h5,LYMPH_IDC/adata/NCBI681.h5ad
TENX116,PAAD/patches/TENX116.h5,PAAD/adata/TENX116.h5ad
TENX140,PAAD/patches/TENX140.h5,PAAD/adata/TENX140.h5ad
MEND162,PRAD/patches/MEND162.h5,PRAD/adata/MEND162.h5ad
MEND161,PRAD/patches/MEND161.h5,PRAD/adata/MEND161.h5ad
MEND160,PRAD/patches/MEND160.h5,PRAD/adata/MEND160.h5ad
MEND159,PRAD/patches/MEND159.h5,PRAD/adata/MEND159.h5ad
MEND158,PRAD/patches/MEND158.h5,PRAD/adata/MEND158.h5ad
MEND156,PRAD/patches/MEND156.h5,PRAD/adata/MEND156.h5ad
MEND154,PRAD/patches/MEND154.h5,PRAD/adata/MEND154.h5ad
MEND153,PRAD/patches/MEND153.h5,PRAD/adata/MEND153.h5ad
MEND152,PRAD/patches/MEND152.h5,PRAD/adata/MEND152.h5ad
MEND150,PRAD/patches/MEND150.h5,PRAD/adata/MEND150.h5ad
MEND149,PRAD/patches/MEND149.h5,PRAD/adata/MEND149.h5ad
MEND147,PRAD/patches/MEND147.h5,PRAD/adata/MEND147.h5ad
MEND146,PRAD/patches/MEND146.h5,PRAD/adata/MEND146.h5ad
MEND144,PRAD/patches/MEND144.h5,PRAD/adata/MEND144.h5ad
MEND143,PRAD/patches/MEND143.h5,PRAD/adata/MEND143.h5ad
MEND142,PRAD/patches/MEND142.h5,PRAD/adata/MEND142.h5ad
MEND141,PRAD/patches/MEND141.h5,PRAD/adata/MEND141.h5ad
MEND139,PRAD/patches/MEND139.h5,PRAD/adata/MEND139.h5ad
ZEN49,READ/patches/ZEN49.h5,READ/adata/ZEN49.h5ad
ZEN48,READ/patches/ZEN48.h5,READ/adata/ZEN48.h5ad
ZEN40,READ/patches/ZEN40.h5,READ/adata/ZEN40.h5ad
TENX115,SKCM/patches/TENX115.h5,SKCM/adata/TENX115.h5ad
