year,title,authors,decision,confidence,matched_terms,url
2025,When GNNs meet symmetry in ILPs: an orbit-based feature augmentation approach,"Qian Chen, Lei Li, Qian Li, Jianghua Wu, Akang Wang, Ruoyu Sun, Xiaodong Luo, Tsung-Hui Chang, Qingjiang Shi",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=wVTJRnZ11Z
2025,GANDALF: Generative AttentioN based Data Augmentation and predictive modeLing Framework for personalized cancer treatment,"Aishwarya Jayagopal, Yanrong Zhang, Robert John Walsh, Tuan Zea Tan, Anand D Jeyasekharan, Vaibhav Rajan",ICLR 2025 Poster,high,genom; mutation; sequencing,https://openreview.net/forum?id=WwmtcGr4lP
2025,Clique Number Estimation via Differentiable Functions of Adjacency Matrix Permutations,"Indradyumna Roy, Eeshaan Jain, Soumen Chakrabarti, Abir De",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=DFSb67ksVr
2025,URLOST: Unsupervised Representation Learning without Stationarity or Topology,"Zeyu Yun, Juexiao Zhang, Yann LeCun, Yubei Chen",ICLR 2025 Poster,high,gene expression,https://openreview.net/forum?id=MBBRHDuiwM
2025,Charting the Design Space of Neural Graph Representations for Subgraph Matching,"Vaibhav Raj, Indradyumna Roy, Ashwin Ramachandran, Soumen Chakrabarti, Abir De",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=5pd78GmXC6
2025,Hyperbolic Genome Embeddings,"Raiyan R. Khan, Philippe Chlenski, Itsik Pe'er",ICLR 2025 Poster,high,DNA; genom,https://openreview.net/forum?id=NkGDNM8LB0
2025,Diffusion Generative Modeling for Spatially Resolved Gene Expression Inference from Histology Images,"Sichen Zhu, Yuchen Zhu, Molei Tao, Peng Qiu",ICLR 2025 Poster,high,RNA-seq; gene expression; genom; sequencing; transcriptom,https://openreview.net/forum?id=FtjLUHyZAO
2025,Plastic Learning with Deep Fourier Features,"Alex Lewandowski, Dale Schuurmans, Marlos C. Machado",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=NIkfix2eDQ
2025,Learning Efficient Positional Encodings with Graph Neural Networks,"Charilaos Kanatsoulis, Evelyn Choi, Stefanie Jegelka, Jure Leskovec, Alejandro Ribeiro",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=AWg2tkbydO
2025,Identifiability for Gaussian Processes with Holomorphic Kernels,"Ameer Qaqish, Didong Li",ICLR 2025 Poster,high,transcriptom,https://openreview.net/forum?id=FUaDMRVrbS
2025,Modeling Complex System Dynamics with Flow Matching Across Time and Conditions,"Martin Rohbeck, Edward De Brouwer, Charlotte Bunne, Jan-Christian Huetter, Anne Biton, Kelvin Y. Chen, Aviv Regev, Romain Lopez",ICLR 2025 Spotlight,high,gene regulat; genom; single-cell,https://openreview.net/forum?id=hwnObmOTrV
2025,PEARL: Towards Permutation-Resilient LLMs,"Liang CHEN, Li Shen, Yang Deng, Xiaoyan Zhao, Bin Liang, Kam-Fai Wong",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=txoJvjfI9w
2025,Specialized Foundation Models Struggle to Beat Supervised Baselines,"Zongzhe Xu, Ritvik Gupta, Wenduo Cheng, Alexander Shen, Junhong Shen, Ameet Talwalkar, Mikhail Khodak",ICLR 2025 Poster,high,genom,https://openreview.net/forum?id=JYTQ6ELUVO
2025,Learning to Discover Regulatory Elements for Gene Expression Prediction,"Xingyu Su, Haiyang Yu, Degui Zhi, Shuiwang Ji",ICLR 2025 Oral,high,DNA; epigenom; gene expression; genom,https://openreview.net/forum?id=Mfnh1Sqdwf
2025,Improving Graph Neural Networks by Learning Continuous Edge Directions,"Seong Ho Pahng, Sahand Hormoz",ICLR 2025 Poster,high,gene regulat,https://openreview.net/forum?id=iAmR7FfMmq
2025,A Meta-Learning Approach to Bayesian Causal Discovery,"Anish Dhir, Matthew Ashman, James Requeima, Mark van der Wilk",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=eeJz7eDWKO
2025,Capturing the Temporal Dependence of Training Data Influence,"Jiachen T. Wang, Dawn Song, James Zou, Prateek Mittal, Ruoxi Jia",ICLR 2025 Oral,low,mutation,https://openreview.net/forum?id=uHLgDEgiS5
2025,Decision Tree Induction Through LLMs via Semantically-Aware Evolution,"Tennison Liu, Nicolas Huynh, Mihaela van der Schaar",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=UyhRtB4hjN
