organ,slide,tissue,tech,spot_num,gene_num,involve_cancer,coord,count,image
breast,GSE210616_GSM6433601,breast,Visium,1593,36601,True,Visium/coord/GSE210616_GSM6433601_coord.csv,Visium/gene_exp/GSE210616_GSM6433601_count.csv,Visium/image/GSE210616_GSM6433601.png
breast,GSE213688_GSM6592051,breast,Visium,1564,36601,True,Visium/coord/GSE213688_GSM6592051_coord.csv,Visium/gene_exp/GSE213688_GSM6592051_count.csv,Visium/image/GSE213688_GSM6592051.png
breast,GSE213688_GSM6592054,breast,Visium,1596,36601,True,Visium/coord/GSE213688_GSM6592054_coord.csv,Visium/gene_exp/GSE213688_GSM6592054_count.csv,Visium/image/GSE213688_GSM6592054.png
breast,GSE210616_GSM6433602,breast,Visium,1554,36601,True,Visium/coord/GSE210616_GSM6433602_coord.csv,Visium/gene_exp/GSE210616_GSM6433602_count.csv,Visium/image/GSE210616_GSM6433602.png
breast,GSE210616_GSM6433593,breast,Visium,1542,36601,True,Visium/coord/GSE210616_GSM6433593_coord.csv,Visium/gene_exp/GSE210616_GSM6433593_count.csv,Visium/image/GSE210616_GSM6433593.png
breast,GSE210616_GSM6433590,breast,Visium,1532,36601,True,Visium/coord/GSE210616_GSM6433590_coord.csv,Visium/gene_exp/GSE210616_GSM6433590_count.csv,Visium/image/GSE210616_GSM6433590.png
breast,GSE210616_GSM6433609,breast,Visium,1518,36601,True,Visium/coord/GSE210616_GSM6433609_coord.csv,Visium/gene_exp/GSE210616_GSM6433609_count.csv,Visium/image/GSE210616_GSM6433609.png
breast,GSE210616_GSM6433610,breast,Visium,1511,36601,True,Visium/coord/GSE210616_GSM6433610_coord.csv,Visium/gene_exp/GSE210616_GSM6433610_count.csv,Visium/image/GSE210616_GSM6433610.png
breast,GSE242311_GSM7757972,breast,Visium,1505,17943,True,Visium/coord/GSE242311_GSM7757972_coord.csv,Visium/gene_exp/GSE242311_GSM7757972_count.csv,Visium/image/GSE242311_GSM7757972.png
breast,GSE210616_GSM6433587,breast,Visium,1654,36601,True,Visium/coord/GSE210616_GSM6433587_coord.csv,Visium/gene_exp/GSE210616_GSM6433587_count.csv,Visium/image/GSE210616_GSM6433587.png
kidney,GSE175540_GSM5924044,kidney,Visium,1983,36601,True,Visium/coord/GSE175540_GSM5924044_coord.csv,Visium/gene_exp/GSE175540_GSM5924044_count.csv,Visium/image/GSE175540_GSM5924044.png
kidney,GSE175540_GSM5924051,kidney,Visium,2007,36601,True,Visium/coord/GSE175540_GSM5924051_coord.csv,Visium/gene_exp/GSE175540_GSM5924051_count.csv,Visium/image/GSE175540_GSM5924051.png
kidney,GSE175540_GSM5924046,kidney,Visium,1949,36601,True,Visium/coord/GSE175540_GSM5924046_coord.csv,Visium/gene_exp/GSE175540_GSM5924046_count.csv,Visium/image/GSE175540_GSM5924046.png
kidney,GSE175540_GSM5924045,kidney,Visium,1696,36601,True,Visium/coord/GSE175540_GSM5924045_coord.csv,Visium/gene_exp/GSE175540_GSM5924045_count.csv,Visium/image/GSE175540_GSM5924045.png
kidney,GSE175540_GSM5924048,kidney,Visium,1678,36601,True,Visium/coord/GSE175540_GSM5924048_coord.csv,Visium/gene_exp/GSE175540_GSM5924048_count.csv,Visium/image/GSE175540_GSM5924048.png
kidney,GSE175540_GSM5924047,kidney,Visium,2374,36601,True,Visium/coord/GSE175540_GSM5924047_coord.csv,Visium/gene_exp/GSE175540_GSM5924047_count.csv,Visium/image/GSE175540_GSM5924047.png
kidney,GSE206306_GSM6250307,kidney,Visium,2438,36601,False,Visium/coord/GSE206306_GSM6250307_coord.csv,Visium/gene_exp/GSE206306_GSM6250307_count.csv,Visium/image/GSE206306_GSM6250307.png
